x,y,density
1.38764,1.38906,1.47645
4.16291,1.38906,0.778769
6.93818,1.38906,1.65368
9.71346,1.38906,0.99557
12.4887,1.38906,0.986456
15.264,1.38906,1.41135
18.0393,1.38906,0.49422
20.8146,1.38906,1.18071
23.5898,1.38906,1.30912
26.3651,1.38906,1.04247
29.1404,1.38906,0.99381
31.9156,1.38906,0.775246
34.6909,1.38906,1.44162
37.4662,1.38906,1.28307
40.2415,1.38906,0.839034
43.0167,1.38906,0.925615
45.792,1.38906,1.06231
48.5673,1.38906,0.675399
51.3426,1.38906,0.674007
54.1178,1.38906,1.30059
56.8931,1.38906,0.51237
59.6684,1.38906,1.439
62.4437,1.38906,0.46237
65.2189,1.38906,0.930541
67.9942,1.38906,1.11332
70.7695,1.38906,0.954699
73.5448,1.38906,0.888353
76.32,1.38906,0.943128
79.0953,1.38906,0.634013
81.8706,1.38906,1.23829
84.6458,1.38906,0.363461
87.4211,1.38906,1.34742
90.1964,1.38906,0.877503
92.9717,1.38906,0.9078
95.7469,1.38906,0.841489
98.5222,1.38906,0.910239
101.297,1.38906,1.31101
104.073,1.38906,0.337225
106.848,1.38906,1.11507
109.623,1.38906,0.820688
112.399,1.38906,0.699266
115.174,1.38906,1.54894
117.949,1.38906,0.781887
120.724,1.38906,0.954459
123.5,1.38906,0.745619
126.275,1.38906,0.795194
129.05,1.38906,1.14148
131.825,1.38906,0.229496
134.601,1.38906,1.04653
137.376,1.38906,1.07281
140.151,1.38906,1.04045
142.927,1.38906,0.902686
145.702,1.38906,0.765589
148.477,1.38906,0.333433
151.252,1.38906,0.997453
154.028,1.38906,0.690174
156.803,1.38906,1.09005
159.578,1.38906,1.67841
162.354,1.38906,0.747751
165.129,1.38906,1.36146
167.904,1.38906,0.487355
170.679,1.38906,0.483796
173.455,1.38906,1.54572
176.23,1.38906,1.74629
1.38764,4.16719,0.43785
4.16291,4.16719,0.192218
6.93818,4.16719,0.725706
9.71346,4.16719,1.23522
12.4887,4.16719,0.861297
15.264,4.16719,0.969296
18.0393,4.16719,0.179187
20.8146,4.16719,1.137
23.5898,4.16719,0.832151
26.3651,4.16719,0.342761
29.1404,4.16719,1.14767
31.9156,4.16719,0.501514
34.6909,4.16719,0.477662
37.4662,4.16719,0.214331
40.2415,4.16719,0.178256
43.0167,4.16719,0.655178
45.792,4.16719,0.303788
48.5673,4.16719,0.784494
51.3426,4.16719,0.153305
54.1178,4.16719,0.676562
56.8931,4.16719,0.230097
59.6684,4.16719,0.709863
62.4437,4.16719,0.494192
65.2189,4.16719,0.835081
67.9942,4.16719,0.556344
70.7695,4.16719,0.744846
73.5448,4.16719,1.07679
76.32,4.16719,0.994789
79.0953,4.16719,0.473937
81.8706,4.16719,1.19411
84.6458,4.16719,0.340861
87.4211,4.16719,0.358662
90.1964,4.16719,0.87637
92.9717,4.16719,0.423357
95.7469,4.16719,0.609288
98.5222,4.16719,0.533428
101.297,4.16719,0.295982
104.073,4.16719,0.272286
106.848,4.16719,0.792616
109.623,4.16719,0.738644
112.399,4.16719,0.398638
115.174,4.16719,0.574199
117.949,4.16719,0.663912
120.724,4.16719,1.179
123.5,4.16719,0.840677
126.275,4.16719,0.685243
129.05,4.16719,0.904018
131.825,4.16719,0.556023
134.601,4.16719,0.774878
137.376,4.16719,0.755746
140.151,4.16719,0.577614
142.927,4.16719,0.91812
145.702,4.16719,0.770436
148.477,4.16719,0.859634
151.252,4.16719,0.499395
154.028,4.16719,1.02317
156.803,4.16719,1.02039
159.578,4.16719,0.936224
162.354,4.16719,1.04252
165.129,4.16719,0.981005
167.904,4.16719,0.541863
170.679,4.16719,0.879648
173.455,4.16719,0.514258
176.23,4.16719,1.23884
1.38764,6.94531,0.660231
4.16291,6.94531,0.144324
6.93818,6.94531,0.977938
9.71346,6.94531,0.682403
12.4887,6.94531,1.12853
15.264,6.94531,0.272215
18.0393,6.94531,1.05913
20.8146,6.94531,0.92166
23.5898,6.94531,0.258939
26.3651,6.94531,0.203044
29.1404,6.94531,0.855245
31.9156,6.94531,0.446306
34.6909,6.94531,1.12478
37.4662,6.94531,0.58145
40.2415,6.94531,0.591881
43.0167,6.94531,0.410473
45.792,6.94531,0.41362
48.5673,6.94531,1.17182
51.3426,6.94531,0.631291
54.1178,6.94531,1.03285
56.8931,6.94531,0.710764
59.6684,6.94531,0.630696
62.4437,6.94531,0.485992
65.2189,6.94531,1.06298
67.9942,6.94531,0.558348
70.7695,6.94531,0.471
73.5448,6.94531,0.867047
76.32,6.94531,0.367934
79.0953,6.94531,0.976916
81.8706,6.94531,0.942354
84.6458,6.94531,0.595574
87.4211,6.94531,0.123455
90.1964,6.94531,0.619524
92.9717,6.94531,0.277398
95.7469,6.94531,0.544076
98.5222,6.94531,0.415446
101.297,6.94531,0.782204
104.073,6.94531,0.630606
106.848,6.94531,0.106064
109.623,6.94531,0.424882
112.399,6.94531,0.381066
115.174,6.94531,0.460091
117.949,6.94531,0.658945
120.724,6.94531,0.268538
123.5,6.94531,1.29883
126.275,6.94531,0.479266
129.05,6.94531,1.16515
131.825,6.94531,0.311702
134.601,6.94531,0.638466
137.376,6.94531,1.03604
140.151,6.94531,0.617251
142.927,6.94531,0.4901
145.702,6.94531,0.457156
148.477,6.94531,0.59858
151.252,6.94531,0.436692
154.028,6.94531,1.31871
156.803,6.94531,0.322943
159.578,6.94531,0.210759
162.354,6.94531,0.927327
165.129,6.94531,0.588463
167.904,6.94531,0.869151
170.679,6.94531,1.1968
173.455,6.94531,0.518021
176.23,6.94531,0.671598
1.38764,9.72344,0.682888
4.16291,9.72344,0.342979
6.93818,9.72344,0.715015
9.71346,9.72344,1.19981
12.4887,9.72344,0.555742
15.264,9.72344,0.852953
18.0393,9.72344,0.475696
20.8146,9.72344,0.152989
23.5898,9.72344,0.746641
26.3651,9.72344,0.462221
29.1404,9.72344,0.866207
31.9156,9.72344,0.492275
34.6909,9.72344,0.854001
37.4662,9.72344,0.189722
40.2415,9.72344,0.273363
43.0167,9.72344,0.164128
45.792,9.72344,0.226495
48.5673,9.72344,0.172849
51.3426,9.72344,0.214194
54.1178,9.72344,0.514913
56.8931,9.72344,0.475568
59.6684,9.72344,0.488118
62.4437,9.72344,0.739008
65.2189,9.72344,1.28712
67.9942,9.72344,0.668065
70.7695,9.72344,0.727883
73.5448,9.72344,0.145095
76.32,9.72344,0.468278
79.0953,9.72344,0.821561
81.8706,9.72344,0.784659
84.6458,9.72344,0.550681
87.4211,9.72344,0.375224
90.1964,9.72344,0.629294
92.9717,9.72344,1.00168
95.7469,9.72344,0.958065
98.5222,9.72344,0.765656
101.297,9.72344,0.1789
104.073,9.72344,1.17418
106.848,9.72344,0.538606
109.623,9.72344,0.817918
112.399,9.72344,0.656886
115.174,9.72344,1.33222
117.949,9.72344,0.634782
120.724,9.72344,0.248238
123.5,9.72344,0.788034
126.275,9.72344,0.568201
129.05,9.72344,0.363281
131.825,9.72344,0.929304
134.601,9.72344,0.281762
137.376,9.72344,0.953134
140.151,9.72344,1.01334
142.927,9.72344,0.523037
145.702,9.72344,0.62059
148.477,9.72344,0.726547
151.252,9.72344,1.18327
154.028,9.72344,0.616437
156.803,9.72344,0.573179
159.578,9.72344,0.103501
162.354,9.72344,1.08759
165.129,9.72344,0.437995
167.904,9.72344,0.597259
170.679,9.72344,0.394225
173.455,9.72344,0.591451
176.23,9.72344,0.878978
1.38764,12.5016,0.404975
4.16291,12.5016,0.894353
6.93818,12.5016,0.590016
