cell_name,x,y,width,height,fixed
VDD,1.19912,2.54635,0.38,1.4,0
CK,5.03354,0,0.38,1.4,0
G0,3.85111,0,0.38,1.4,0
G1,0,0,0.38,1.4,0
G2,0,5.6,0.38,1.4,0
G3,0,0,0.38,1.4,0
G17,5.63398,2.38552,0.38,1.4,0
DFF_0,0,5.6,3.23,1.4,0
DFF_1,0,0,3.23,1.4,0
DFF_2,0,5.6,3.23,1.4,0
NOT_0,2.19568,5.6,0.38,1.4,0
NOT_1,0,0.86153,0.38,1.4,0
AND2_0,5.27987,0,0.76,1.4,0
OR2_0,0,5.6,0.76,1.4,0
OR2_1,0,0,0.76,1.4,0
NAND2_0,0,0,0.57,1.4,0
NOR2_0,5.46987,5.6,0.57,1.4,0
NOR2_1,5.46987,0,0.57,1.4,0
NOR2_2,0,0.634904,0.57,1.4,0
NOR2_3,5.46987,0,0.57,1.4,0
