cell_name,x,y,width,height,fixed
VDD,10.5028,15.0461,0.38,1.4,0
CK,11.3051,9.46415,0.38,1.4,0
START,1.15152,12.6005,0.38,1.4,0
B0,0.464476,0,0.38,1.4,0
B1,1.28879,2.11418,0.38,1.4,0
B2,16.9062,16.8,0.38,1.4,0
B3,0,0,0.38,1.4,0
A0,15.2251,16.7385,0.38,1.4,0
A1,0,12.98,0.38,1.4,0
A2,6.94808,16.8,0.38,1.4,0
A3,16.91,0,0.38,1.4,0
P4,5.33048,15.127,0.38,1.4,0
P5,11.6876,12.8825,0.38,1.4,0
P6,5.64004,7.89133,0.38,1.4,0
P7,13.4656,8.88376,0.38,1.4,0
P0,13.3769,9.02017,0.38,1.4,0
P1,5.15392,1.30568,0.38,1.4,0
P2,15.9418,14.3666,0.38,1.4,0
P3,15.1943,0.837369,0.38,1.4,0
CNTVCON2,0.156463,2.7626,0.38,1.4,0
CNTVCO2,3.36704,16.8,0.38,1.4,0
READY,1.60281,10.591,0.38,1.4,0
DFF_0,5.00639,9.01139,3.23,1.4,0
DFF_1,8.89734,10.4701,3.23,1.4,0
DFF_2,1.46918,9.02253,3.23,1.4,0
DFF_3,1.6205,11.1477,3.23,1.4,0
DFF_4,9.16988,1.5986,3.23,1.4,0
DFF_5,3.70673,0.977546,3.23,1.4,0
DFF_6,8.52319,1.4368,3.23,1.4,0
DFF_7,14.0365,12.4708,3.23,1.4,0
DFF_8,5.5033,14.0677,3.23,1.4,0
DFF_9,0.333866,0.785007,3.23,1.4,0
DFF_10,14.0123,13.2682,3.23,1.4,0
DFF_11,6.50693,1.09223,3.23,1.4,0
DFF_12,1.69353,7.61587,3.23,1.4,0
DFF_13,7.46348,7.627,3.23,1.4,0
DFF_14,8.31159,14.7177,3.23,1.4,0
NOT_0,2.79224,16.8,0.38,1.4,0
NOT_1,11.9474,8.19063,0.38,1.4,0
NOT_2,15.0164,2.34811,0.38,1.4,0
NOT_3,16.7154,1.09789,0.38,1.4,0
NOT_4,1.87572,14.6387,0.38,1.4,0
