cell_name,x,y,width,height,fixed
VDD,9.36607,14.5973,0.38,1.4,0
CK,8.29552,12.3214,0.38,1.4,0
START,11.1729,5.42993,0.38,1.4,0
B0,14.4367,4.34019,0.38,1.4,0
B1,15.3672,7.88071,0.38,1.4,0
B2,7.56703,2.25636,0.38,1.4,0
B3,11.6023,14.5768,0.38,1.4,0
A0,5.86422,3.07701,0.38,1.4,0
A1,2.16559,0,0.38,1.4,0
A2,10.8867,13.8735,0.38,1.4,0
A3,6.91344,14.7907,0.38,1.4,0
CNTVCO2,3.8568,3.42571,0.38,1.4,0
CNTVCON2,0,8.63324,0.38,1.4,0
READY,12.6304,8.05595,0.38,1.4,0
P0,11.6674,8.37044,0.38,1.4,0
P1,5.63922,12.9727,0.38,1.4,0
P2,3.08722,11.6517,0.38,1.4,0
P3,10.2279,5.86653,0.38,1.4,0
P4,6.03104,8.88582,0.38,1.4,0
P5,9.98501,5.37926,0.38,1.4,0
P6,12.6152,9.11186,0.38,1.4,0
P7,10.6086,3.55765,0.38,1.4,0
DFF_0,9.49284,9.69269,3.23,1.4,0
DFF_1,10.6104,6.86506,3.23,1.4,0
DFF_2,8.79104,12.5254,3.23,1.4,0
DFF_3,5.05044,5.77589,3.23,1.4,0
DFF_4,2.60762,10.3403,3.23,1.4,0
DFF_5,4.11479,4.20194,3.23,1.4,0
DFF_6,5.91926,13.648,3.23,1.4,0
DFF_7,8.24813,7.86557,3.23,1.4,0
DFF_8,2.30108,12.727,3.23,1.4,0
DFF_9,5.06533,11.7773,3.23,1.4,0
DFF_10,8.30682,0,3.23,1.4,0
DFF_11,1.04964,8.90459,3.23,1.4,0
DFF_12,6.00472,10.2751,3.23,1.4,0
DFF_13,2.28433,7.15554,3.23,1.4,0
DFF_14,5.20019,7.65817,3.23,1.4,0
NOT_0,9.91228,10.9323,0.38,1.4,0
NOT_1,7.45187,15.1697,0.38,1.4,0
NOT_2,8.33918,4.68116,0.38,1.4,0
NOT_3,9.72692,5.17811,0.38,1.4,0
NOT_4,2.56073,0,0.38,1.4,0
NOT_5,5.01356,8.95918,0.38,1.4,0
NOT_6,13.706,11.9413,0.38,1.4,0
