cell_name,x,y,width,height,fixed
VDD,14.7011,13.2981,0.38,1.4,0
CK,7.10333,10.1395,0.38,1.4,0
START,10.2035,10.1565,0.38,1.4,0
B0,14.5978,7.61893,0.38,1.4,0
B1,12.6651,8.96041,0.38,1.4,0
B2,8.71825,4.33131,0.38,1.4,0
B3,9.73604,12.2107,0.38,1.4,0
A0,6.38168,4.25185,0.38,1.4,0
A1,2.35657,3.68276,0.38,1.4,0
A2,11.413,13.1003,0.38,1.4,0
A3,7.10883,14.9362,0.38,1.4,0
CNTVCO2,7.65459,5.55001,0.38,1.4,0
CNTVCON2,5.86535,7.60721,0.38,1.4,0
READY,10.2504,10.4394,0.38,1.4,0
P0,7.02272,7.50572,0.38,1.4,0
P1,6.08852,11.6935,0.38,1.4,0
P2,6.24528,11.1961,0.38,1.4,0
P3,9.39912,7.47728,0.38,1.4,0
P4,6.69556,7.61575,0.38,1.4,0
P5,10.3558,7.35477,0.38,1.4,0
P6,11.7904,9.89604,0.38,1.4,0
P7,11.7383,6.77128,0.38,1.4,0
DFF_0,6.24664,7.8475,3.23,1.4,0
DFF_1,5.95288,10.0951,3.23,1.4,0
DFF_2,5.91749,10.2996,3.23,1.4,0
DFF_3,7.68171,7.19125,3.23,1.4,0
DFF_4,6.80678,10.7811,3.23,1.4,0
DFF_5,5.72408,7.1202,3.23,1.4,0
DFF_6,5.38588,10.8541,3.23,1.4,0
DFF_7,5.692,7.40557,3.23,1.4,0
DFF_8,4.88635,11.4089,3.23,1.4,0
DFF_9,4.96595,11.084,3.23,1.4,0
DFF_10,6.1303,6.94689,3.23,1.4,0
DFF_11,5.95308,10.0519,3.23,1.4,0
DFF_12,5.973,7.84017,3.23,1.4,0
DFF_13,4.67303,8.06292,3.23,1.4,0
DFF_14,5.27088,7.32167,3.23,1.4,0
NOT_0,10.2763,10.9592,0.38,1.4,0
NOT_1,7.39985,10.95,0.38,1.4,0
NOT_2,7.6755,6.67348,0.38,1.4,0
NOT_3,6.95477,7.01246,0.38,1.4,0
NOT_4,7.48971,5.83661,0.38,1.4,0
NOT_5,7.12523,7.7976,0.38,1.4,0
NOT_6,11.4077,10.5303,0.38,1.4,0
NOT_7,10.6837,10.8336,0.38,1.4,0
NOT_8,12.2983,12.3028,0.38,1.4,0
NOT_9,12.3378,5.83508,0.38,1.4,0
NOT_10,6.01682,4.99834,0.38,1.4,0
NOT_11,12.4958,10.0977,0.38,1.4,0
