# Enhanced routing data format for plot_routing.py
# Cell format: CELL x y width height cell_name
CELL 8 59 6 15 NOR3_10
CELL 62 0 6 15 NOR2_14
CELL 146 133 6 14 NOR2_11
CELL 16 118 6 15 NOR4_7
CELL 30 162 6 15 NOR2_9
CELL 0 118 6 15 NOR3_7
CELL 8 0 6 15 NOR3_5
CELL 194 15 6 14 NOR3_4
CELL 184 103 6 15 NOR3_3
CELL 20 0 6 15 NOR4_5
CELL 32 29 6 15 NOR2_7
CELL 184 162 6 15 NOR3_2
CELL 6 118 6 15 NOR3_1
CELL 164 88 6 15 NOR2_4
CELL 144 118 6 15 NOR4_4
CELL 18 192 6 14 NOR4_3
CELL 36 162 6 15 NOR2_2
CELL 0 147 6 15 NOR4_2
CELL 0 88 6 15 NOR2_0
CELL 156 192 6 14 NAND4_11
CELL 34 0 6 15 NAND4_10
CELL 0 74 6 14 NAND2_6
CELL 12 192 6 14 NAND4_9
CELL 0 15 6 14 NAND4_8
CELL 200 0 5 15 NAND4_7
CELL 128 177 6 15 NAND2_5
CELL 168 29 6 15 NAND2_2
CELL 188 15 6 14 NAND4_3
CELL 6 177 6 15 NAND3_2
CELL 154 74 6 14 NAND3_1
CELL 6 133 6 14 NAND4_1
CELL 0 162 6 15 NAND2_0
CELL 200 29 5 15 NAND4_0
CELL 152 147 8 15 OR3_7
CELL 160 0 8 15 OR2_8
CELL 10 88 6 15 NOR3_6
CELL 82 192 6 14 NAND4_2
CELL 158 162 8 15 OR2_6
CELL 166 162 8 15 OR3_5
CELL 190 162 6 15 NAND2_3
CELL 84 0 8 15 OR2_4
CELL 68 0 8 15 OR2_3
CELL 64 15 8 14 OR2_7
CELL 0 0 8 15 OR4_5
CELL 198 44 6 15 NOR2_3
CELL 18 162 6 15 NAND3_0
CELL 104 15 8 14 OR3_3
CELL 76 0 8 15 OR4_4
CELL 156 15 8 14 OR3_2
CELL 30 103 8 15 OR4_1
CELL 178 29 8 15 OR4_0
CELL 122 177 6 15 NOR2_12
CELL 40 29 8 15 OR2_1
CELL 52 44 6 15 NOR4_0
CELL 166 147 8 15 AND2_32
CELL 196 162 8 15 AND2_30
CELL 158 59 8 15 AND2_29
CELL 22 59 8 15 AND2_24
CELL 144 29 8 15 AND2_23
CELL 124 0 8 15 OR2_0
CELL 24 88 4 15 NOT_25
CELL 194 59 6 15 NOR3_8
CELL 178 103 4 15 NOT_4
CELL 164 74 4 14 G148
CELL 26 0 8 15 OR3_4
CELL 0 103 4 15 NOT_23
CELL 12 147 4 15 NOT_15
CELL 20 44 8 15 AND4_3
CELL 104 133 4 14 NOT_13
CELL 112 59 34 15 DFF_9
CELL 122 133 4 14 NOT_8
CELL 94 118 34 15 DFF_1
CELL 148 0 8 15 AND2_22
CELL 134 133 4 14 NOT_7
CELL 0 29 6 15 NOR2_15
CELL 58 44 4 15 NOT_6
CELL 174 162 8 15 AND2_31
CELL 150 74 4 14 NOT_21
CELL 70 103 8 15 OR4_7
CELL 26 162 4 15 NOT_24
CELL 140 147 4 15 NOT_5
CELL 0 192 6 14 NOR2_5
CELL 64 103 4 15 NOT_18
CELL 150 162 8 15 OR3_6
CELL 138 44 34 15 DFF_18
CELL 42 162 34 15 DFF_16
CELL 96 147 4 15 NOT_3
CELL 12 133 4 14 NOT_17
CELL 106 192 8 14 AND2_25
CELL 96 44 34 15 DFF_13
CELL 184 0 8 15 OR2_9
CELL 62 44 34 15 DFF_6
CELL 46 192 8 14 AND4_5
CELL 80 29 4 15 G2
CELL 6 88 4 15 NOT_44
CELL 102 177 4 15 NOT_49
CELL 64 29 4 15 G199
CELL 128 118 8 15 AND3_0
CELL 0 133 6 14 NAND2_1
CELL 24 133 4 14 G1
CELL 18 147 4 15 G147
CELL 150 103 4 15 G0
CELL 30 74 34 14 DFF_0
CELL 114 133 4 14 NOT_14
CELL 92 29 4 15 G213
CELL 148 15 8 14 AND2_28
CELL 54 15 4 14 NOT_48
CELL 14 0 6 15 NOR3_9
CELL 92 15 6 14 NAND4_5
CELL 52 177 4 15 NOT_26
CELL 130 88 34 15 DFF_11
CELL 156 29 8 15 OR4_8
CELL 48 29 4 15 NOT_16
CELL 200 59 5 15 NOR2_6
CELL 110 177 4 15 NOT_51
CELL 26 118 34 15 DFF_2
CELL 186 147 6 15 NAND4_6
CELL 114 162 4 15 NOT_20
CELL 70 133 34 14 DFF_3
CELL 30 44 8 15 AND3_10
CELL 178 44 8 15 AND2_9
CELL 160 74 4 14 NOT_22
CELL 168 0 8 15 AND2_3
CELL 106 147 34 15 DFF_17
CELL 200 15 5 14 NOR3_0
CELL 92 0 8 15 AND2_5
CELL 26 147 4 15 NOT_47
CELL 60 118 34 15 DFF_8
CELL 80 162 34 15 DFF_5
CELL 48 0 6 15 NOR4_6
CELL 176 59 8 15 OR3_0
CELL 164 103 4 15 CK
CELL 62 88 34 15 DFF_7
CELL 36 133 34 14 DFF_4
CELL 118 162 6 15 NOR2_1
CELL 172 15 8 14 AND3_1
CELL 168 74 4 14 NOT_11
CELL 32 133 4 14 NOT_34
CELL 54 0 4 15 NOT_41
CELL 138 29 4 15 G214
CELL 12 103 8 15 OR2_2
CELL 28 88 34 15 DFF_19
CELL 156 0 4 15 NOT_30
CELL 32 147 8 15 AND2_11
CELL 138 133 8 14 OR2_5
CELL 98 74 34 14 DFF_20
CELL 118 133 4 14 NOT_10
CELL 0 177 6 15 NOR4_1
CELL 140 0 8 15 AND2_6
CELL 56 192 8 14 AND2_21
CELL 8 44 4 15 NOT_38
CELL 100 0 8 15 AND2_2
CELL 50 103 4 15 NOT_0
CELL 64 74 34 14 DFF_14
CELL 78 103 34 15 DFF_15
CELL 76 162 4 15 NOT_27
CELL 76 29 4 15 NOT_28
CELL 4 103 8 15 AND2_8
CELL 30 192 8 14 AND2_27
CELL 38 103 4 15 NOT_29
CELL 22 103 4 15 NOT_1
CELL 96 192 8 14 AND4_8
CELL 54 147 4 15 NOT_32
CELL 172 103 4 15 NOT_12
CELL 22 118 4 15 NOT_33
CELL 132 74 6 14 NOR2_8
CELL 174 29 4 15 NOT_35
CELL 96 88 34 15 DFF_10
CELL 170 88 4 15 NOT_36
CELL 16 133 8 14 AND2_26
CELL 140 15 8 14 AND4_7
CELL 28 133 4 14 NOT_37
CELL 42 147 6 15 NOR2_13
CELL 120 15 8 14 OR4_3
CELL 4 44 4 15 NOT_39
CELL 164 15 8 14 OR2_10
CELL 22 29 8 15 AND3_5
CELL 98 177 4 15 NOT_40
CELL 186 59 8 15 AND2_0
CELL 40 15 4 14 NOT_42
CELL 44 15 4 14 NOT_43
CELL 186 44 6 15 NOR2_10
CELL 166 59 4 15 NOT_45
CELL 146 147 6 15 NAND2_4
CELL 58 0 4 15 NOT_19
CELL 6 74 8 14 AND2_13
CELL 44 177 8 15 AND4_2
CELL 138 74 4 14 NOT_46
CELL 132 29 4 15 NOT_50
CELL 108 0 8 15 OR4_6
CELL 180 15 8 14 AND2_1
CELL 130 44 8 15 AND2_33
CELL 116 0 8 15 AND2_4
CELL 40 59 8 15 AND2_16
CELL 126 133 8 14 AND3_6
CELL 58 103 4 15 NOT_31
CELL 12 177 8 15 AND2_7
CELL 20 177 8 15 AND2_10
CELL 36 177 8 15 OR4_2
CELL 16 88 8 15 AND2_12
CELL 12 44 8 15 AND4_1
CELL 132 0 8 15 AND2_14
CELL 56 59 4 15 NOT_9
CELL 56 177 34 15 DFF_12
CELL 192 0 8 15 AND2_15
CELL 130 192 8 14 AND3_11
CELL 32 59 8 15 AND2_17
CELL 40 0 8 15 AND3_12
CELL 192 103 4 15 VDD
CELL 8 162 8 15 AND2_18
CELL 108 133 6 14 NAND4_4
CELL 28 177 8 15 AND3_3
CELL 142 74 8 14 AND3_4
CELL 16 15 8 14 AND4_4
CELL 192 147 8 15 AND3_7
CELL 106 177 4 15 NOT_2
CELL 114 177 8 15 AND4_6
CELL 136 118 8 15 AND3_8
CELL 22 74 8 14 AND3_2
CELL 174 147 8 15 AND2_19
CELL 14 74 8 14 OR3_1
CELL 176 0 8 15 AND4_0
CELL 90 177 8 15 AND2_20
CELL 12 118 4 15 G198
CELL 40 44 8 15 AND3_9

# Routing format: x1 y1 z1 x2 y2 z2 net_id
145 22 1 145 21 1 -2129354316
145 21 1 145 20 1 -2129354316
145 20 1 145 19 1 -2129354316
145 19 1 145 18 1 -2129354316
145 18 1 145 18 2 -2129354316
145 18 2 144 18 2 -2129354316
144 18 2 143 18 2 -2129354316
143 18 2 142 18 2 -2129354316
142 18 2 141 18 2 -2129354316
141 18 2 140 18 2 -2129354316
140 18 2 140 18 1 -2129354316
140 18 1 140 19 1 -2129354316
140 19 1 140 20 1 -2129354316
140 20 1 140 21 1 -2129354316
140 21 1 140 21 2 -2129354316
140 21 2 139 21 2 -2129354316
139 21 2 138 21 2 -2129354316
138 21 2 137 21 2 -2129354316
137 21 2 136 21 2 -2129354316
136 21 2 135 21 2 -2129354316
135 21 2 135 21 1 -2129354316
135 21 1 135 22 1 -2129354316
135 22 1 135 22 2 -2129354316
135 22 2 134 22 2 -2129354316
134 22 2 133 22 2 -2129354316
133 22 2 132 22 2 -2129354316
132 22 2 131 22 2 -2129354316
131 22 2 130 22 2 -2129354316
130 22 2 129 22 2 -2129354316
129 22 2 128 22 2 -2129354316
128 22 2 127 22 2 -2129354316
127 22 2 126 22 2 -2129354316
126 22 2 126 22 1 -2129354316
126 22 1 126 23 1 -2129354316
126 23 1 126 24 1 -2129354316
126 24 1 126 25 1 -2129354316
126 25 1 126 26 1 -2129354316
126 26 1 126 27 1 -2129354316
126 27 1 126 28 1 -2129354316
126 28 1 126 29 1 -2129354316
126 29 1 126 30 1 -2129354316
126 30 1 126 30 0 -2129354316
126 30 0 125 30 0 -2129354316
125 30 0 124 30 0 -2129354316
124 30 0 123 30 0 -2129354316
123 30 0 122 30 0 -2129354316
122 30 0 121 30 0 -2129354316
121 30 0 120 30 0 -2129354316
120 30 0 119 30 0 -2129354316
119 30 0 118 30 0 -2129354316
118 30 0 117 30 0 -2129354316
117 30 0 116 30 0 -2129354316
116 30 0 115 30 0 -2129354316
115 30 0 114 30 0 -2129354316
