cell_name,x,y,width,height,fixed
VDD,8.72708,12.6809,0.38,1.4,0
CK,6.83106,9.44021,0.38,1.4,0
START,16.6712,15.4331,0.38,1.4,0
B0,10.8892,12.406,0.38,1.4,0
B1,0.292652,9.006,0.38,1.4,0
B2,7.59855,4.34699,0.38,1.4,0
B3,16.7552,7.49801,0.38,1.4,0
A0,6.81825,14.8419,0.38,1.4,0
A1,2.32439,12.9193,0.38,1.4,0
A2,16.7588,4.83828,0.38,1.4,0
A3,8.07755,16.8,0.38,1.4,0
P4,13.8911,6.36286,0.38,1.4,0
P5,9.37447,7.72431,0.38,1.4,0
P6,11.5198,6.54451,0.38,1.4,0
P7,13.886,14.9185,0.38,1.4,0
P0,9.29693,12.6804,0.38,1.4,0
P1,4.79667,12.7637,0.38,1.4,0
P2,6.91566,16.1403,0.38,1.4,0
P3,4.21403,12.6899,0.38,1.4,0
CNTVCON2,16.0353,11.6337,0.38,1.4,0
CNTVCO2,16.7588,3.1847,0.38,1.4,0
READY,3.08195,6.65259,0.38,1.4,0
DFF_0,4.30977,10.7528,3.23,1.4,0
DFF_1,0.549313,6.26316,3.23,1.4,0
DFF_2,6.81756,0.906848,3.23,1.4,0
DFF_3,10.4635,1.46788,3.23,1.4,0
DFF_4,0.73018,16.8,3.23,1.4,0
DFF_5,13.9088,16.8,3.23,1.4,0
DFF_6,3.89994,3.16704,3.23,1.4,0
DFF_7,4.60028,4.42595,3.23,1.4,0
DFF_8,9.58236,7.36696,3.23,1.4,0
DFF_9,13.9088,12.3147,3.23,1.4,0
DFF_10,6.37028,7.20052,3.23,1.4,0
DFF_11,13.9088,4.93567,3.23,1.4,0
DFF_12,5.22215,3.45744,3.23,1.4,0
DFF_13,3.96225,9.10246,3.23,1.4,0
DFF_14,1.79091,8.32607,3.23,1.4,0
NOT_0,15.3695,8.66888,0.38,1.4,0
NOT_1,12.6179,3.78796,0.38,1.4,0
NOT_2,2.07531,6.46748,0.38,1.4,0
NOT_3,8.70335,11.5984,0.38,1.4,0
NOT_4,10.7178,5.36339,0.38,1.4,0
NOT_5,12.1939,2.67804,0.38,1.4,0
NOT_6,11.1828,3.74452,0.38,1.4,0
NOT_7,12.7714,13.1382,0.38,1.4,0
NOT_8,13.4427,12.1927,0.38,1.4,0
